sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary,placed,academic_score,exp_bonus
1,1,67.0,1,91.0,1,1,58.0,2,0,55.0,1,58.8,1,270000.0,1,67.9,0
2,1,79.33,0,78.33,1,2,77.48,2,1,86.5,0,66.28,1,200000.0,1,79.959,5
3,1,65.0,0,68.0,0,0,64.0,0,0,75.0,0,57.8,1,250000.0,1,67.45,0
4,1,56.0,0,52.0,0,2,52.0,2,0,66.0,1,59.43,0,0.0,0,55.800000000000004,0
5,1,85.8,0,73.6,0,1,73.3,0,0,96.8,0,55.5,1,425000.0,1,81.19999999999999,0
6,1,55.0,1,49.8,1,2,67.25,2,1,55.0,0,51.58,0,0.0,0,57.375,5
7,0,46.0,1,49.2,1,1,79.0,0,0,74.28,0,53.29,0,0.0,0,62.356,0
8,1,82.0,0,64.0,0,2,66.0,2,1,67.0,0,62.14,1,252000.0,1,69.7,5
9,1,73.0,0,79.0,0,1,72.0,0,0,91.34,0,61.29,1,231000.0,1,77.868,0
10,1,58.0,0,70.0,0,1,61.0,0,0,54.0,0,52.21,0,0.0,0,61.099999999999994,0
11,1,58.0,0,61.0,0,1,60.0,0,1,62.0,1,60.85,1,260000.0,1,60.15,5
12,1,69.6,0,68.4,0,1,78.3,0,1,60.0,0,63.7,1,250000.0,1,69.99,5
13,0,47.0,0,55.0,1,2,65.0,0,0,62.0,1,65.04,0,0.0,0,57.4,0
14,0,77.0,0,87.0,0,1,59.0,0,0,68.0,0,68.63,1,218000.0,1,72.30000000000001,0
15,1,62.0,0,47.0,0,1,50.0,0,0,76.0,1,54.96,0,0.0,0,57.45,0
16,0,65.0,0,75.0,0,1,69.0,0,1,72.0,0,64.66,1,200000.0,1,70.10000000000001,5
17,1,63.0,0,66.2,0,1,65.6,0,1,60.0,0,62.54,1,300000.0,1,63.97999999999999,5
18,0,55.0,0,67.0,0,1,64.0,0,0,60.0,0,67.28,0,0.0,0,61.7,0
19,0,63.0,0,66.0,0,1,64.0,0,0,68.0,1,64.08,0,0.0,0,65.05000000000001,0
20,1,60.0,1,67.0,1,0,70.0,0,1,50.48,0,77.89,1,236000.0,1,62.846000000000004,5
21,1,62.0,1,65.0,1,1,66.0,0,0,50.0,1,56.7,1,265000.0,1,61.55,0
22,0,79.0,1,76.0,1,1,85.0,0,0,95.0,0,69.06,1,393000.0,1,83.25,0
23,0,69.8,1,60.8,1,2,72.23,2,0,55.53,1,68.81,1,360000.0,1,65.42500000000001,0
24,0,77.4,1,60.0,1,2,64.74,2,1,92.0,0,63.62,1,300000.0,1,72.172,5
25,1,76.5,1,97.7,1,2,78.86,2,0,97.4,0,74.01,1,360000.0,1,86.688,0
26,0,52.58,1,54.6,0,1,50.2,0,1,76.0,0,65.33,0,0.0,0,57.05500000000001,5
27,1,71.0,1,79.0,1,1,66.0,0,1,94.0,0,57.55,1,240000.0,1,76.1,5
28,1,63.0,1,67.0,1,1,66.0,0,0,68.0,1,57.69,1,265000.0,1,65.9,0
29,1,76.76,1,76.5,1,1,67.5,0,1,73.35,0,64.15,1,350000.0,1,73.235,5
30,1,62.0,0,67.0,0,1,58.0,0,0,77.0,0,51.29,0,0.0,0,65.05,0
31,0,64.0,0,73.5,0,1,73.0,0,0,52.0,1,56.7,1,250000.0,1,66.675,0
32,0,67.0,0,53.0,0,2,65.0,2,0,64.0,1,58.32,0,0.0,0,62.3,0
33,0,61.0,0,81.0,0,1,66.4,0,0,50.89,1,62.21,1,278000.0,1,65.598,0
34,0,87.0,1,65.0,1,2,81.0,0,1,88.0,0,72.78,1,260000.0,1,79.9,5
35,1,62.0,1,51.0,1,2,52.0,1,0,68.44,1,62.77,0,0.0,0,57.538000000000004,0
36,0,69.0,0,78.0,0,1,72.0,0,0,71.0,1,62.74,1,300000.0,1,72.55,0
37,1,51.0,0,44.0,0,1,57.0,0,0,64.0,0,51.45,0,0.0,0,53.64999999999999,0
38,0,79.0,0,76.0,0,2,65.6,2,0,58.0,1,55.47,1,320000.0,1,70.03,0
39,0,73.0,1,58.0,1,2,66.0,0,0,53.7,1,56.86,1,240000.0,1,63.29,0
40,1,81.0,1,68.0,1,2,64.0,2,0,93.0,0,62.56,1,411000.0,1,75.05000000000001,0
41,0,78.0,0,77.0,1,1,80.0,0,0,60.0,0,66.72,1,287000.0,1,74.75,0
42,0,74.0,1,63.16,1,1,65.0,0,1,65.0,1,69.76,0,0.0,0,66.78999999999999,5
43,1,49.0,1,39.0,0,2,65.0,1,0,63.0,0,51.21,0,0.0,0,54.1,0
44,1,87.0,1,87.0,1,1,68.0,0,0,95.0,1,62.9,1,300000.0,1,82.9,0
45,0,77.0,1,73.0,1,1,81.0,0,1,89.0,0,69.7,1,200000.0,1,79.6,5
46,0,76.0,0,64.0,0,2,72.0,2,0,58.0,1,66.53,0,0.0,0,68.19999999999999,0
47,0,70.89,1,71.98,1,2,65.6,0,0,68.0,1,71.63,0,0.0,0,68.9975,0
48,1,63.0,0,60.0,0,1,57.0,0,1,78.0,0,54.55,1,204000.0,1,63.449999999999996,5
49,1,63.0,1,62.0,1,1,68.0,0,0,64.0,0,62.46,1,250000.0,1,64.45,0
50,0,50.0,1,37.0,1,0,52.0,1,0,65.0,1,56.11,0,0.0,0,50.35,0
51,0,75.2,0,73.2,0,2,68.4,0,0,65.0,1,62.98,1,200000.0,1,70.62,0
52,1,54.4,0,61.12,0,1,56.2,0,0,67.0,1,62.65,0,0.0,0,59.13999999999999,0
53,0,40.89,1,45.83,1,1,53.0,0,0,71.2,1,65.49,0,0.0,0,51.82,0
54,1,80.0,1,70.0,1,2,72.0,2,0,87.0,1,71.04,1,450000.0,1,76.5,0
55,0,74.0,0,60.0,1,2,69.0,0,0,78.0,1,65.56,1,216000.0,1,69.80000000000001,0
56,1,60.4,0,66.6,1,2,65.0,0,0,71.0,1,52.71,1,220000.0,1,65.45,0
57,1,63.0,1,71.4,1,1,61.4,0,0,68.0,0,66.88,1,240000.0,1,65.62,0
58,1,68.0,0,76.0,0,1,74.0,0,0,80.0,0,63.59,1,360000.0,1,74.2,0
59,1,74.0,0,62.0,1,2,68.0,0,0,74.0,0,57.99,1,268000.0,1,69.2,0
60,1,52.6,0,65.58,1,2,72.11,2,0,57.6,0,56.66,1,265000.0,1,62.698,0
61,1,74.0,0,70.0,0,2,72.0,0,1,60.0,0,57.24,1,260000.0,1,69.6,5
62,1,84.2,0,73.4,0,1,66.89,0,0,61.6,0,62.48,1,300000.0,1,71.787,0
63,0,86.5,1,64.2,1,2,67.4,2,0,59.0,0,59.69,1,240000.0,1,69.695,0
64,1,61.0,1,70.0,1,1,64.0,0,0,68.5,1,59.5,0,0.0,0,65.65,0
65,1,80.0,1,73.0,1,1,75.0,0,0,61.0,0,58.78,1,240000.0,1,72.95,0
66,1,54.0,1,47.0,1,2,57.0,0,0,89.69,1,57.1,0,0.0,0,60.288,0
67,1,83.0,1,74.0,1,2,66.0,0,0,68.92,1,58.46,1,275000.0,1,72.834,0
68,1,80.92,1,78.5,1,1,67.0,0,0,68.71,0,60.99,1,275000.0,1,73.697,0
69,0,69.7,0,47.0,0,1,72.7,2,0,79.0,1,59.24,0,0.0,0,66.785,0
70,1,73.0,0,73.0,0,2,66.0,2,1,70.0,0,68.07,1,275000.0,1,70.3,5
71,1,82.0,1,61.0,1,2,62.0,2,0,89.0,0,65.45,1,360000.0,1,72.14999999999999,0
72,1,75.0,1,70.29,1,1,71.0,0,0,95.0,0,66.94,1,240000.0,1,76.6225,0
73,1,84.86,1,67.0,1,2,78.0,0,0,95.5,0,68.53,1,240000.0,1,80.465,0
74,1,64.6,0,83.83,1,1,71.72,0,0,86.0,0,59.75,1,218000.0,1,75.8235,0
75,1,56.6,0,64.8,0,1,70.2,0,0,84.27,0,67.2,1,336000.0,1,68.264,0
76,0,59.0,0,62.0,1,1,77.5,0,0,74.0,1,67.0,0,0.0,0,68.3,0
77,0,66.5,1,70.4,0,0,71.93,0,0,61.0,0,64.27,1,230000.0,1,68.004,0
78,1,64.0,1,80.0,1,2,65.0,2,1,69.0,0,57.65,1,500000.0,1,69.3,5
79,1,84.0,1,90.9,1,2,64.5,2,0,86.04,0,59.42,1,270000.0,1,80.283,0
80,0,69.0,0,62.0,0,2,66.0,2,0,75.0,1,67.99,0,0.0,0,67.55,0
81,0,69.0,1,62.0,1,1,69.0,0,1,67.0,1,62.35,1,240000.0,1,66.85000000000001,5
82,1,81.7,1,63.0,1,2,67.0,0,1,86.0,0,70.2,1,300000.0,1,73.475,5
83,1,63.0,0,67.0,0,1,74.0,0,0,82.0,0,60.44,0,0.0,0,71.10000000000001,0
84,1,84.0,1,79.0,1,2,68.0,2,1,84.0,0,66.69,1,300000.0,1,77.95,5
85,1,70.0,0,63.0,1,2,70.0,2,1,55.0,0,62.0,1,300000.0,1,65.25,5
86,0,83.84,1,89.83,1,1,77.2,0,1,78.74,0,76.18,1,400000.0,1,82.3255,5
87,1,62.0,1,63.0,1,1,64.0,0,0,67.0,0,57.03,1,220000.0,1,63.85,0
88,1,59.6,0,51.0,0,2,60.0,1,0,75.0,1,59.08,0,0.0,0,60.65,0
89,0,66.0,0,62.0,0,1,73.0,0,0,58.0,1,64.36,1,210000.0,1,65.5,0
90,0,84.0,1,75.0,1,2,69.0,2,1,62.0,1,62.36,1,210000.0,1,72.85000000000001,5
91,0,85.0,1,90.0,1,1,82.0,0,0,92.0,0,68.03,1,300000.0,1,86.75,0
92,1,52.0,0,57.0,0,1,50.8,0,0,67.0,1,62.79,0,0.0,0,55.88999999999999,0
93,0,60.23,0,69.0,0,2,66.0,0,0,72.0,0,59.47,1,230000.0,1,66.50750000000001,0
94,1,52.0,0,62.0,0,1,54.0,0,0,72.0,1,55.41,0,0.0,0,59.1,0
95,1,58.0,0,62.0,0,1,64.0,0,0,53.88,0,54.97,1,260000.0,1,59.976000000000006,0
96,1,73.0,0,78.0,1,1,65.0,0,1,95.46,0,62.16,1,420000.0,1,76.342,5
97,0,76.0,0,70.0,0,2,76.0,0,1,66.0,0,64.44,1,300000.0,1,72.5,5
98,0,70.5,0,62.5,1,1,61.0,0,0,93.91,0,69.03,0,0.0,0,70.332,0
99,0,69.0,0,73.0,0,1,65.0,0,0,70.0,0,57.31,1,220000.0,1,69.0,0
100,1,54.0,0,82.0,1,1,63.0,2,0,50.0,0,59.47,0,0.0,0,62.9,0
101,0,45.0,1,57.0,1,1,58.0,0,1,56.39,1,64.95,0,0.0,0,54.178,5
102,1,63.0,0,72.0,0,1,68.0,0,0,78.0,1,60.44,1,380000.0,1,69.75,0
103,0,77.0,1,61.0,1,1,68.0,0,1,57.5,0,61.31,1,300000.0,1,66.4,5
104,1,73.0,0,78.0,0,2,73.0,2,1,85.0,1,65.83,1,240000.0,1,76.65,5
105,1,69.0,0,63.0,1,2,65.0,0,1,55.0,1,58.23,1,360000.0,1,63.5,5
106,1,59.0,0,64.0,1,2,58.0,2,0,85.0,1,55.3,0,0.0,0,65.15,0
107,1,61.08,1,50.0,1,2,54.0,2,0,71.0,0,65.69,0,0.0,0,58.17,0
108,1,82.0,1,90.0,1,1,83.0,0,0,80.0,1,73.52,1,200000.0,1,83.9,0
109,1,61.0,0,82.0,0,1,69.0,0,0,84.0,0,58.31,1,300000.0,1,73.25,0
110,1,52.0,0,63.0,1,2,65.0,2,1,86.0,1,56.09,0,0.0,0,65.45,5
111,0,69.5,0,70.0,0,2,72.0,2,0,57.2,1,54.8,1,250000.0,1,67.91499999999999,0
112,1,51.0,1,54.0,1,2,61.0,2,0,60.0,1,60.64,0,0.0,0,56.55,0
113,1,58.0,1,61.0,1,1,61.0,0,0,58.0,1,53.94,1,250000.0,1,59.65,0
114,0,73.96,1,79.0,1,1,67.0,0,0,72.15,0,63.08,1,280000.0,1,72.77,0
115,1,65.0,0,68.0,1,2,69.0,0,0,53.7,1,55.01,1,250000.0,1,64.69,0
116,0,73.0,1,63.0,1,2,66.0,0,0,89.0,0,60.5,1,216000.0,1,71.6,0
117,1,68.2,0,72.8,0,1,66.6,0,1,96.0,0,70.85,1,300000.0,1,74.43,5
118,1,77.0,1,75.0,1,2,73.0,2,0,80.0,0,67.05,1,240000.0,1,75.9,0
119,1,76.0,0,80.0,0,2,78.0,2,1,97.0,1,70.48,1,276000.0,1,81.8,5
120,1,60.8,0,68.4,0,1,64.6,0,1,82.66,0,64.34,1,940000.0,1,68.21199999999999,5
121,1,58.0,1,40.0,1,2,59.0,0,0,73.0,1,58.81,0,0.0,0,56.800000000000004,0
122,0,64.0,0,67.0,1,2,69.6,2,1,55.67,1,71.49,1,250000.0,1,64.764,5
123,0,66.5,0,66.8,0,0,69.3,0,1,80.4,0,71.0,1,236000.0,1,70.19500000000001,5
124,1,74.0,1,59.0,1,1,73.0,0,1,60.0,1,56.7,1,240000.0,1,67.15,5
125,1,67.0,0,71.0,0,2,64.33,1,1,64.0,1,61.26,1,250000.0,1,66.599,5
126,0,84.0,0,73.0,0,1,73.0,0,0,75.0,0,73.33,1,350000.0,1,76.15,0
127,0,79.0,1,61.0,1,2,75.5,2,1,70.0,0,68.2,1,210000.0,1,71.65,5
128,0,72.0,1,60.0,1,2,69.0,0,0,55.5,1,58.4,1,250000.0,1,64.80000000000001,0
129,1,80.4,0,73.4,0,2,77.72,2,1,81.2,1,76.26,1,400000.0,1,78.006,5
130,1,76.7,0,89.7,1,1,66.0,0,1,90.0,0,68.55,1,250000.0,1,79.4,5
131,1,62.0,0,65.0,1,1,60.0,0,0,84.0,0,64.15,0,0.0,0,66.55,0
132,0,74.9,1,57.0,1,2,62.0,1,1,80.0,0,60.78,1,360000.0,1,67.575,5
133,1,67.0,1,68.0,1,1,64.0,0,1,74.4,1,53.49,1,300000.0,1,67.83000000000001,5
134,1,73.0,0,64.0,1,1,77.0,0,1,65.0,1,60.98,1,250000.0,1,70.35,5
135,0,77.44,0,92.0,1,1,72.0,0,1,94.0,0,67.13,1,250000.0,1,82.75999999999999,5
136,0,72.0,0,56.0,1,2,69.0,0,0,55.6,1,65.63,1,200000.0,1,63.82000000000001,0
137,0,47.0,0,59.0,0,0,64.0,0,0,78.0,0,61.58,0,0.0,0,61.300000000000004,0
138,1,67.0,1,63.0,0,1,72.0,0,0,56.0,1,60.41,1,225000.0,1,65.3,0
139,0,82.0,1,64.0,1,2,73.0,2,1,96.0,0,71.77,1,250000.0,1,77.6,5
140,1,77.0,0,70.0,0,1,59.0,0,1,58.0,0,54.43,1,220000.0,1,66.05000000000001,5
141,1,65.0,0,64.8,1,1,69.5,0,1,56.0,0,56.94,1,265000.0,1,64.5,5
142,1,66.0,0,64.0,0,2,60.0,0,0,60.0,1,61.9,0,0.0,0,62.5,0
143,1,85.0,0,60.0,1,2,73.43,2,1,60.0,0,61.29,1,260000.0,1,70.279,5
144,1,77.67,1,64.89,1,1,70.67,0,0,89.0,0,60.39,1,300000.0,1,74.641,0
145,1,52.0,1,50.0,1,0,61.0,0,0,60.0,0,58.52,0,0.0,0,55.8,0
146,1,89.4,1,65.66,1,2,71.25,2,0,72.0,1,63.23,1,400000.0,1,74.54,0
147,1,62.0,0,63.0,1,2,66.0,0,0,85.0,1,55.14,1,233000.0,1,68.05,0
148,1,70.0,0,74.0,0,1,65.0,0,0,83.0,0,62.28,1,300000.0,1,72.1,0
149,0,77.0,0,86.0,0,0,56.0,1,0,57.0,0,64.08,1,240000.0,1,68.95,0
150,1,44.0,0,58.0,0,0,55.0,0,1,64.25,1,58.54,0,0.0,0,54.85,5
151,1,71.0,0,58.66,0,2,58.0,2,1,56.0,0,61.3,1,690000.0,1,61.015,5
152,1,65.0,0,65.0,0,1,75.0,0,0,83.0,0,58.87,1,270000.0,1,71.6,0
153,0,75.4,1,60.5,0,2,84.0,2,0,98.0,0,65.25,1,240000.0,1,78.775,0
154,1,49.0,1,59.0,1,2,65.0,2,1,86.0,0,62.48,1,340000.0,1,63.7,5
155,1,53.0,0,63.0,1,2,60.0,0,1,70.0,0,53.2,1,250000.0,1,61.0,5
156,1,51.57,1,74.66,1,1,59.9,0,1,56.15,1,65.99,0,0.0,0,60.75749999999999,5
157,1,84.2,0,69.4,0,2,65.0,2,1,80.0,1,52.72,1,255000.0,1,73.9,5
158,1,66.5,0,62.5,0,1,60.9,0,0,93.4,0,55.03,1,300000.0,1,69.2,0
159,1,67.0,1,63.0,1,2,64.0,2,0,60.0,0,61.87,0,0.0,0,63.7,0
160,1,52.0,0,49.0,1,1,58.0,0,0,62.0,1,60.59,0,0.0,0,55.05,0
161,1,87.0,0,74.0,0,2,65.0,2,1,75.0,1,72.29,1,300000.0,1,74.75,5
162,1,55.6,1,51.0,1,1,57.5,0,0,57.63,1,62.72,0,0.0,0,55.426,0
163,1,74.2,0,87.6,1,1,77.25,0,1,75.2,0,66.06,1,285000.0,1,78.665,5
164,1,63.0,1,67.0,1,2,64.0,2,0,75.0,0,66.46,1,500000.0,1,66.7,0
165,0,67.16,0,72.5,0,1,63.35,0,0,53.04,0,65.52,1,250000.0,1,64.528,0
166,0,63.3,0,78.33,1,1,74.0,0,0,80.0,0,74.56,0,0.0,0,73.6075,0
167,1,62.0,1,62.0,1,1,60.0,0,1,63.0,1,52.38,1,240000.0,1,61.6,5
168,1,67.9,1,62.0,1,2,67.0,2,1,58.1,0,75.71,0,0.0,0,64.19500000000001,5
169,0,48.0,0,51.0,0,1,58.0,0,1,60.0,1,58.79,0,0.0,0,54.15,5
170,1,59.96,1,42.16,1,2,61.26,2,0,54.48,1,65.48,0,0.0,0,54.804,0
171,0,63.4,1,67.2,1,1,60.0,0,0,58.06,1,69.28,0,0.0,0,62.262,0
172,1,80.0,1,80.0,1,1,72.0,0,1,63.79,0,66.04,1,290000.0,1,74.35799999999999,5
173,1,73.0,1,58.0,1,1,56.0,0,0,84.0,1,52.64,1,300000.0,1,66.35,0
174,0,52.0,1,52.0,1,2,55.0,2,0,67.0,1,59.32,0,0.0,0,55.9,0
175,1,73.24,1,50.83,1,2,64.27,2,1,64.0,0,66.23,1,500000.0,1,63.0985,5
176,1,63.0,1,62.0,1,2,65.0,2,0,87.5,1,60.69,0,0.0,0,68.25,0
177,0,59.0,0,60.0,1,1,56.0,0,0,55.0,1,57.9,1,220000.0,1,57.55,0
178,0,73.0,0,97.0,1,1,79.0,0,1,89.0,0,70.81,1,650000.0,1,84.0,5
179,1,68.0,1,56.0,1,2,68.0,2,0,73.0,1,68.07,1,350000.0,1,66.0,0
180,0,77.8,0,64.0,0,2,64.2,2,0,75.5,1,72.14,0,0.0,0,69.81,0
181,1,65.0,0,71.5,1,1,62.8,0,1,57.0,0,56.6,1,265000.0,1,64.36500000000001,5
182,1,62.0,0,60.33,1,2,64.21,2,0,63.0,1,60.02,0,0.0,0,62.4455,0
183,1,52.0,1,65.0,1,0,57.0,1,1,75.0,0,59.81,0,0.0,0,61.349999999999994,5
184,1,65.0,0,77.0,0,1,69.0,0,0,60.0,1,61.82,1,276000.0,1,68.2,0
185,0,56.28,1,62.83,1,1,59.79,0,0,60.0,1,57.29,0,0.0,0,59.7145,0
186,0,88.0,0,72.0,0,2,78.0,1,0,82.0,1,71.43,1,252000.0,1,79.8,0
187,0,52.0,0,64.0,0,1,61.0,0,0,55.0,0,62.93,0,0.0,0,58.3,0
188,1,78.5,0,65.5,0,2,67.0,2,1,95.0,0,64.86,1,280000.0,1,75.1,5
189,1,61.8,1,47.0,1,1,54.38,0,0,57.0,0,56.13,0,0.0,0,54.913999999999994,0
190,0,54.0,0,77.6,1,1,69.2,0,0,95.65,0,66.94,0,0.0,0,72.78999999999999,0
191,0,64.0,1,70.2,0,1,61.0,0,0,50.0,0,62.5,0,0.0,0,61.849999999999994,0
192,1,67.0,1,61.0,0,2,72.0,0,0,72.0,0,61.01,1,264000.0,1,68.0,0
193,1,65.2,0,61.4,0,1,64.8,0,1,93.4,0,57.34,1,270000.0,1,69.77,5
194,0,60.0,0,63.0,0,0,56.0,1,1,80.0,1,56.63,1,300000.0,1,63.55,5
195,1,52.0,1,55.0,1,1,56.3,0,0,59.0,0,64.74,0,0.0,0,55.44,0
196,1,66.0,0,76.0,0,1,72.0,0,1,84.0,1,58.95,1,275000.0,1,73.89999999999999,5
197,1,72.0,1,63.0,1,2,77.5,2,1,78.0,0,54.48,1,250000.0,1,72.6,5
198,0,83.96,1,53.0,1,2,91.0,2,0,59.32,1,69.71,1,260000.0,1,73.404,0
199,0,67.0,0,70.0,0,1,65.0,1,0,88.0,1,71.96,0,0.0,0,71.35,0
200,1,69.0,1,65.0,1,1,57.0,0,0,73.0,1,55.8,1,265000.0,1,65.19999999999999,0
201,1,69.0,1,60.0,1,1,65.0,0,0,87.55,0,52.81,1,300000.0,1,69.26,0
202,1,54.2,0,63.0,1,2,58.0,0,0,79.0,1,58.44,0,0.0,0,62.5,0
203,1,70.0,0,63.0,0,2,66.0,2,0,61.28,1,60.11,1,240000.0,1,65.306,0
204,1,55.68,1,61.33,1,1,56.87,0,0,66.0,1,58.3,1,260000.0,1,59.5135,0
205,0,74.0,1,73.0,1,1,73.0,0,1,80.0,0,67.69,1,210000.0,1,74.65,5
206,1,61.0,1,62.0,1,1,65.0,0,0,62.0,0,56.81,1,250000.0,1,62.65,0
207,1,41.0,0,42.0,0,2,60.0,0,0,97.0,0,53.39,0,0.0,0,58.150000000000006,0
208,1,83.33,0,78.0,1,1,61.0,0,1,88.56,0,71.55,1,300000.0,1,76.3445,5
209,0,43.0,0,60.0,1,2,65.0,0,0,92.66,1,62.92,0,0.0,0,63.782,0
210,1,62.0,0,72.0,0,1,65.0,0,0,67.0,0,56.49,1,216000.0,1,66.4,0
211,1,80.6,1,82.0,1,1,77.6,0,0,91.0,0,74.49,1,400000.0,1,82.13,0
212,1,58.0,1,60.0,1,2,72.0,2,0,74.0,0,53.62,1,275000.0,1,65.89999999999999,0
213,1,67.0,1,67.0,1,1,73.0,0,1,59.0,0,69.72,1,295000.0,1,67.2,5
214,0,74.0,1,66.0,1,1,58.0,0,0,70.0,1,60.23,1,204000.0,1,66.4,0
215,1,62.0,0,58.0,1,2,53.0,0,0,89.0,1,60.22,0,0.0,0,63.7,0
